c       Rede
N	17
A	45
a	1 2 22 7 2.4
a	2 1 22 9 3.0
a	1 3 228 18 8.6
a	3 1 228 16 9.3
a	4 5 61 12 5.7
a	5 4 61 13 7.8
a	5 6 128 22 9.2
a	6 5 128 26 12.3
a	1 7 108 16 6.7
a	7 1 108 15 7.1
a	2 4 150 18 9.2
a	4 2 150 18 9.4
a	7 4 51 11 5.7
a	4 7 51 10 6.8
a	6 8 94 13 7.8
a	8 6 94 14 6.7
a	9 8 64 12 5.8
a	8 9 64 13 5.2
a	9 10 35 4 1.2
a	11 10 71 13 3.4
a	10 11 71 13 3.2
a	11 4 124 20 9.2
a	4 11 124 19 8.2
a	6 12 274 22 12.4
a	12 6 274 20 11.6
a	12 13 163 19 10.3
a	13 12 163 20 9.9
a	12 4 11 2 1.1
a	4 12 11 3 0.8
a	8 14 100 13 6.7
a	14 8 100 13 6.9
a	14 15 17 3 2.1
a	15 14 17 4 2.6
a	16 15 75 14 4.9
a	15 16 75 15 3.9
a	9 16 118 17 8.3
a	13 14 80 12 5.9
a	16 9 118 15 7.3
a	17 16 58 12 4.8
a	16 17 58 13 5.6
a	10 17 117 18 8.2
a	17 10 117 19 9.4
a	5 9 50 11 5.2
a	9 5 50 12 5.4
a	9 6 100 14 7.1
